User_ID,Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
U2501,44,Australia,Amazon Music,Rock,568,309,Taylor Swift,Premium,Morning,54.45,37.37
U3586,30,South Korea,Amazon Music,Pop,430,408,Drake,Premium,Afternoon,59.27,75.36
U3653,25,India,Spotify,Hip-Hop,403,268,The Weeknd,Premium,Morning,58.69,11.68
U2055,47,Australia,Spotify,Classical,586,137,The Weeknd,Free,Afternoon,48.38,68.58
U1705,28,Brazil,Amazon Music,Rock,54,943,Ed Sheeran,Premium,Morning,59.97,38.64
U1106,42,UK,Spotify,Reggae,76,84,Ed Sheeran,Free,Night,30.14,11.02
U1589,46,India,Spotify,Rock,253,105,Billie Eilish,Premium,Night,34.58,76.69
U3468,43,UK,Apple Music,Rock,448,446,Ed Sheeran,Free,Afternoon,56.45,73.22
U3413,36,Australia,Tidal,Jazz,550,153,Post Malone,Free,Night,79.41,18.08
U2600,42,Canada,Amazon Music,Jazz,152,124,Taylor Swift,Free,Morning,85.74,53.51
U3464,36,Japan,Amazon Music,Classical,31,125,Dua Lipa,Premium,Morning,32.71,14.75
U1228,36,Japan,Spotify,Country,440,271,BTS,Free,Afternoon,30.55,67.5
U1915,40,Germany,Apple Music,EDM,504,185,Bad Bunny,Premium,Night,41.21,1.53
U1794,43,Germany,Amazon Music,Hip-Hop,169,142,Taylor Swift,Free,Morning,40.21,77.54
U4021,24,UK,Amazon Music,Hip-Hop,248,367,The Weeknd,Premium,Afternoon,28.88,74.29
U4543,43,USA,Tidal,Classical,511,138,Bad Bunny,Free,Night,69.25,18.28
U2073,20,Japan,Amazon Music,Country,525,387,The Weeknd,Free,Afternoon,39.21,61.38
U4351,31,Japan,Apple Music,R&B,585,236,Drake,Free,Afternoon,63.57,56.36
U2744,47,USA,Apple Music,Reggae,167,1,Ed Sheeran,Free,Morning,57.73,9.21
U2084,28,India,,Reggae,160,258,Taylor Swift,Free,Afternoon,55.13,66.17
U1926,47,Brazil,Tidal,Hip-Hop,272,90,Taylor Swift,Free,Night,76.89,98.21
U4049,39,USA,Apple Music,Rock,78,161,The Weeknd,Premium,Night,98.92,50.09
U2117,41,Australia,Apple Music,Pop,66,13,Taylor Swift,Free,Morning,12.02,64.49
U1642,58,Japan,YouTube,Rock,597,356,BTS,Free,Night,63.76,70.76
U5767,35,Brazil,Apple Music,Country,62,464,BTS,Premium,Afternoon,47.14,14.78
U1501,36,Canada,Deezer,Jazz,504,6,The Weeknd,Premium,Night,86.98,46.34
U5066,23,UK,YouTube,,28,498,Adele,Premium,Night,88.63,45.66
U1333,36,Japan,YouTube,Country,47,190,Drake,Premium,Afternoon,67.72,47.01
U5684,57,South Korea,Tidal,R&B,87,275,Ed Sheeran,Free,Night,15.94,27.58
U1486,59,Australia,Apple Music,Jazz,24,479,Drake,Premium,Night,42.58,12.62
U2962,34,South Korea,Tidal,Hip-Hop,319,179,Bad Bunny,Free,Afternoon,59.88,69.17
U1393,25,USA,Tidal,Reggae,271,683,BTS,Free,Morning,21.03,60.35
U5842,18,Brazil,Spotify,Metal,561,461,Post Malone,Premium,Morning,62.37,66.8
U5866,53,UK,Tidal,Metal,466,322,BTS,Premium,Night,84.86,74.85
U2755,52,India,YouTube,Reggae,43,472,Taylor Swift,Premium,Night,54.57,14.87
U3515,23,,YouTube,Jazz,147,84,Billie Eilish,Premium,Afternoon,78.34,10.03
U4585,20,Germany,Apple Music,Reggae,80,9,Billie Eilish,Premium,Morning,39.33,44.09
U5315,14,Canada,Spotify,Hip-Hop,67,349,The Weeknd,Premium,Morning,35.41,26.79
U5966,57,Japan,Tidal,EDM,35,34,Ed Sheeran,Free,Afternoon,67.09,42.24
U3099,23,France,YouTube,Jazz,447,172,Bad Bunny,Free,Night,20.32,34.15
U4599,80,India,YouTube,Classical,294,19,The Weeknd,Free,Night,15.42,74.78
U5121,33,Germany,Deezer,EDM,380,104,Dua Lipa,Premium,Afternoon,86.5,24.27
U1029,42,Canada,Amazon Music,Reggae,151,195,Taylor Swift,Premium,Morning,63.01,47.74
U1065,59,UK,Deezer,R&B,334,44,BTS,Premium,Night,61.36,60.91
U1838,31,India,Amazon Music,Jazz,465,15,Post Malone,Free,Morning,,54.62
U4906,34,France,Amazon Music,R&B,433,410,The Weeknd,Premium,Afternoon,57.15,14.1
U4773,36,USA,Amazon Music,Hip-Hop,114,200,Drake,Premium,Night,18.9,60.48
U5635,33,India,Tidal,Country,575,341,BTS,Free,Morning,65.69,31.39
U4161,29,Brazil,Apple Music,Hip-Hop,19,109,Dua Lipa,Free,Morning,45.57,38.07
U3659,39,South Korea,YouTube,Metal,478,6,Adele,Premium,Morning,62.06,59.65
U5615,42,Japan,Tidal,Country,592,337,Drake,Premium,Afternoon,11.95,48.46
U5628,21,Canada,Spotify,EDM,569,266,Dua Lipa,Premium,Afternoon,32.88,73.3
U3451,57,South Korea,Tidal,EDM,549,64,Taylor Swift,Free,Night,82.6,17.41
U3846,38,Canada,YouTube,Rock,503,391,BTS,Free,Afternoon,72.93,51.75
U2144,38,UK,YouTube,Metal,122,274,Ed Sheeran,Premium,Afternoon,25.65,38.33
U4078,10,France,Apple Music,Country,337,182,Taylor Swift,Free,Afternoon,28.18,25.11
U2103,43,France,Spotify,R&B,12,207,Dua Lipa,Premium,Afternoon,70.23,20.06
U1168,21,Japan,Apple Music,Pop,345,37,Taylor Swift,Free,Night,80.94,7.91
U2670,51,France,Apple Music,Classical,495,347,Billie Eilish,Premium,Afternoon,43.23,26.19
U3570,52,Canada,Tidal,Pop,16,95,Billie Eilish,Free,Morning,26.17,24.75
U3377,36,UK,Apple Music,Jazz,113,387,Dua Lipa,Premium,Morning,27.31,XX
U5395,32,Japan,YouTube,Classical,366,9,Billie Eilish,Free,Morning,84.98,32.29
U5257,24,Canada,Amazon Music,Rock,297,400,Adele,Free,Morning,26.01,49.39
,46,Germany,Deezer,Pop,223,291,Ed Sheeran,Free,Morning,89.83,68.89
U1023,42,Brazil,Amazon Music,Rock,847,248,Post Malone,,Night,26.03,8.42
U3633,47,France,Tidal,Reggae,83,250,BTS,Premium,Morning,84.4,34.33
U4340,16,France,Apple Music,Pop,459,18,Billie Eilish,Free,Night,57.52,70.47
U3215,96,India,Spotify,R&B,528,883,Post Malone,Free,Afternoon,75.17,35.39
U4682,56,Kazakistan,Tidal,R&B,961,468,Post Malone,Premium,Morning,13.36,16.64
U5724,90,South Korea,Deezer,Classical,452,331,BTS,Free,Night,41.58,70.44
U2907,50,,YouTube,Pop,86,225,Taylor Swift,Free,Night,37.73,29.66
U1084,19,South Korea,Tidal,Rock,252,129,Dua Lipa,Premium,Afternoon,18.05,21.08
U1227,18,South Korea,Amazon Music,Metal,345,479,Drake,Premium,Afternoon,21.71,45.96
U1296,58,Japan,Tidal,,364,464,Billie Eilish,Premium,Morning,48.31,77.46
U2001,87,India,Tidal,Rock,445,97,Ed Sheeran,Free,Afternoon,17.87,79.35
U3138,19,Brazil,Spotify,Country,133,165,Dua Lipa,Premium,Afternoon,64.35,79.59
U1711,23,France,Tidal,Hip-Hop,356,424,Dua Lipa,Free,Afternoon,62.27,40.2
U3801,30,India,Apple Music,Hip-Hop,899,132,The Weeknd,Premium,Afternoon,51.45,16.04
U3527,55,UK,Spotify,Pop,146,54,BTS,Free,Night,66.49,77.82
U4752,88,Japan,Deezer,Reggae,15,125,Ed Sheeran,Premium,Morning,58.42,56.73
U4321,42,Japan,Amazon Music,Classical,167,359,Dua Lipa,Free,Night,68.95,19.08
U4181,31,France,Spotify,Pop,352,257,Bad Bunny,Free,Afternoon,64.4,57.57
U5183,13,UK,Tidal,Jazz,92,104,Ed Sheeran,Premium,Afternoon,51.29,45.23
U2615,33,Kazakistan,Deezer,Classical,340,241,Taylor Swift,Premium,Night,48.63,38.11
U4024,18,Canada,Deezer,Country,204,469,The Weeknd,Premium,Afternoon,68.23,7.35
U2413,15,South Korea,Apple Music,Metal,480,4,,Premium,Morning,84.13,17.07
U1763,50,Germany,Tidal,Classical,420,25,Adele,Premium,Morning,14.42,45.89
U1655,51,Germany,YouTube,Reggae,533,58,Billie Eilish,Premium,Night,61.38,45.49
U5797,85,Australia,Apple Music,Jazz,318,380,Ed Sheeran,Premium,Morning,89.44,46.85
U4849,54,South Korea,Amazon Music,Classical,239,193,BTS,Free,Morning,64.85,70.98
U5153,44,South Korea,Spotify,Metal,398,272,Post Malone,Premium,Night,40.18,34.02
U1468,26,Australia,Tidal,Rock,402,240,Taylor Swift,Free,Morning,79.37,12.58
U1157,49,France,YouTube,Country,478,421,BTS,Premium,Morning,76.9,21.62
U2295,21,Kazakistan,Spotify,Rock,144,415,Billie Eilish,Free,Night,999.0,50.23
U1497,55,UK,Amazon Music,R&B,578,469,Adele,Free,Afternoon,,76.38
U5740,19,South Korea,Tidal,R&B,414,211,Adele,Premium,Morning,13.49,17.26
U3940,55,South Korea,Deezer,R&B,245,174,The Weeknd,Premium,Night,72.46,15.28
U4456,55,Canada,YouTube,Metal,158,268,Drake,Premium,Morning,69.76,55.66
U1373,41,UK,Spotify,Reggae,260,107,Drake,Premium,Morning,49.82,34.05
U1079,48,South Korea,Tidal,Jazz,23,259,Post Malone,Free,Night,67.97,46.68
U2553,24,USA,Deezer,Rock,288,458,Billie Eilish,Premium,Afternoon,10.24,30.22
U2669,58,UK,Spotify,Hip-Hop,426,94,Taylor Swift,Premium,Night,41.31,62.79
U3131,46,Brazil,Tidal,Metal,55,244,Post Malone,Premium,Morning,61.59,66.48
U5439,38,France,Amazon Music,Classical,321,53,Drake,Free,Afternoon,66.59,27.82
U1465,27,India,YouTube,Metal,318,267,Billie Eilish,Free,Afternoon,81.07,53.51
U1248,34,UK,Spotify,Jazz,194,339,BTS,Free,Night,89.01,23.28
U1931,18,India,YouTube,Classical,147,264,Ed Sheeran,Premium,Afternoon,33.83,18.72
U2335,27,USA,Amazon Music,Pop,46,249,The Weeknd,Premium,Morning,13.88,74.66
U5524,20,Germany,Deezer,Jazz,519,6,Bad Bunny,Premium,Afternoon,35.51,45.72
U2338,17,Japan,Amazon Music,Metal,259,455,Billie Eilish,Free,Morning,80.03,55.67
U2406,57,Kazakistan,Spotify,Country,143,238,Bad Bunny,Free,Night,21.39,15.73
U2090,21,Japan,Spotify,EDM,260,446,Taylor Swift,Free,Night,82.65,71.57
U5209,24,Australia,Spotify,R&B,485,493,BTS,Premium,Night,42.2,12.66
U1742,20,South Korea,Spotify,R&B,382,16,Billie Eilish,Free,Morning,26.8,15.92
U3323,17,Brazil,Deezer,Jazz,150,95,Adele,Premium,Morning,70.85,10.06
U4601,36,Brazil,Deezer,Reggae,221,74,Adele,Premium,Night,55.57,58.82
U3123,47,South Korea,Amazon Music,EDM,36,491,Post Malone,Premium,Afternoon,74.27,64.14
U3094,53,Canada,Tidal,EDM,202,38,Bad Bunny,Premium,Morning,29.92,12.92
U1240,49,Kazakistan,Amazon Music,Metal,526,71,The Weeknd,Premium,Afternoon,40.53,78.09
U3351,29,Japan,YouTube,Rock,310,387,Post Malone,Free,Night,79.47,39.87
U2370,53,USA,YouTube,Pop,68,256,Post Malone,Premium,Afternoon,68.83,9.49
U2057,49,Canada,Spotify,Jazz,95,10,Drake,Premium,Morning,26.66,30.02
U5816,41,Australia,Amazon Music,Pop,531,429,Dua Lipa,Premium,Morning,,20.85
U1199,19,Germany,YouTube,Hip-Hop,463,379,Adele,Free,Morning,77.31,60.39
U3280,32,Brazil,Apple Music,Metal,96,138,Ed Sheeran,Free,Night,58.55,26.34
U5749,46,Bharat,Spotify,EDM,209,265,The Weeknd,Free,Night,55.98,49.08
U3220,30,Brazil,Spotify,Jazz,501,383,The Weeknd,Premium,Afternoon,25.56,27.23
U5771,14,Australia,Tidal,Country,572,470,Dua Lipa,Premium,Afternoon,15.2,70.93
U3819,52,Australia,Spotify,Reggae,416,350,Billie Eilish,Free,Afternoon,48.71,12.55
U4150,22,Canada,Deezer,Country,117,355,BTS,Free,Night,66.95,64.41
U5256,16,Germany,Amazon Music,Rock,44,472,Adele,Free,Afternoon,57.14,14.08
U4107,17,France,Apple Music,R&B,577,19,Billie Eilish,Premium,Night,37.96,13.76
U2973,26,Bharat,Deezer,Pop,58,495,Adele,Free,Night,23.44,23.93
U2375,30,Australia,Tidal,Jazz,17,36,Dua Lipa,Premium,Night,88.89,25.24
U4968,24,Brazil,Apple Music,EDM,46,349,Bad Bunny,Premium,Night,36.1,74.58
U5062,43,France,Tidal,Hip-Hop,592,440,Bad Bunny,Free,Night,33.85,47.34
U5445,28,France,Tidal,Hip-Hop,488,389,Adele,Premium,Morning,-10.0,73.35
U4557,38,USA,Spotify,Pop,245,144,BTS,Premium,Morning,43.98,32.66
U1964,22,France,Apple Music,Metal,249,438,Bad Bunny,Premium,Night,35.6,25.72
U1179,38,USA,,R&B,390,27,Ed Sheeran,Free,Morning,84.24,70.64
U4698,49,Brazil,,Reggae,439,473,Drake,Premium,Morning,21.17,78.89
U4821,28,Japan,Apple Music,Metal,88,381,Adele,Free,Morning,83.56,28.87
U5878,53,Germany,Apple Music,EDM,13,490,BTS,Free,Afternoon,40.23,44.98
U4899,43,Germany,Apple Music,Jazz,527,327,BTS,Premium,Afternoon,87.12,29.8
U5487,17,South Korea,YouTube,Jazz,559,398,Ed Sheeran,Premium,Night,48.85,18.4
U4238,13,Australia,YouTube,Hip-Hop,14,221,Adele,Premium,Morning,18.23,71.27
U3974,13,Bharat,Amazon Music,Reggae,473,490,Drake,Free,Morning,87.84,49.82
U4580,52,Australia,YouTube,Hip-Hop,322,372,Billie Eilish,Free,Afternoon,32.08,39.94
U3887,20,UK,Tidal,EDM,424,394,Drake,Free,Night,28.52,72.63
U3575,20,Brazil,Amazon Music,R&B,525,437,Taylor Swift,Premium,Night,17.15,45.22
U2419,28,Bharat,Tidal,Jazz,500,198,Taylor Swift,Premium,Afternoon,82.77,23.55
U4907,52,,Deezer,R&B,205,479,Ed Sheeran,Free,Night,84.43,37.74
U5673,57,UK,Spotify,Rock,190,31,Bad Bunny,Premium,Morning,58.51,38.45
U5902,32,UK,Amazon Music,Rock,265,17,Bad Bunny,Free,Night,10.55,74.07
U2860,33,Bharat,Deezer,Country,125,150,Post Malone,Free,Morning,,29.65
U1008,25,Germany,Tidal,Metal,526,27,BTS,Premium,Morning,85.7,42.38
U3894,42,Canada,YouTube,Rock,162,301,Ed Sheeran,Free,Morning,83.48,31.33
U3847,37,France,Deezer,Rock,428,272,The Weeknd,Free,Afternoon,24.89,78.46
U4664,21,Japan,Deezer,Pop,284,107,Billie Eilish,Free,Morning,78.89,13.05
U1144,54,Germany,Deezer,Hip-Hop,121,118,Bad Bunny,Premium,Morning,22.6,53.96
U3104,16,UK,Tidal,Classical,258,290,Drake,Free,Morning,23.86,58.79
U4143,14,,YouTube,R&B,337,250,Dua Lipa,Premium,Morning,32.38,50.12
U1841,30,Brazil,YouTube,Jazz,537,91,Adele,Free,Morning,50.31,74.93
U2128,29,South Korea,Tidal,R&B,591,7,Adele,Premium,Night,15.04,19.05
U1151,48,South Korea,Apple Music,Reggae,513,485,Ed Sheeran,Free,Afternoon,61.93,49.88
U4591,59,USA,YouTube,Reggae,372,348,Drake,Premium,Night,31.9,33.28
U2052,29,Bharat,Tidal,Jazz,332,380,Post Malone,Premium,Night,69.53,48.37
U2590,55,Canada,Amazon Music,Country,279,485,,Premium,Night,22.11,64.22
U4008,42,India,Tidal,Reggae,362,62,Ed Sheeran,Free,Morning,60.09,6.09
U3029,17,Brazil,Deezer,Hip-Hop,542,296,Bad Bunny,Premium,Afternoon,88.64,5.2
U4418,28,Canada,Deezer,Pop,429,52,Dua Lipa,Free,Night,20.77,35.19
U2807,-5,Japan,YouTube,Reggae,292,496,,Premium,Afternoon,50.94,45.82
U3696,28,Brazil,,Classical,551,226,Taylor Swift,Premium,Night,28.76,70.06
U4039,45,Australia,Amazon Music,Metal,157,124,Drake,Free,Morning,57.05,48.78
U1472,44,Germany,Amazon Music,Jazz,129,128,BTS,Free,Night,20.54,18.07
U4289,39,USA,Tidal,Jazz,581,119,Ed Sheeran,Premium,Afternoon,62.9,59.95
U5074,22,Canada,Deezer,Country,141,240,Taylor Swift,Premium,Afternoon,59.61,55.53
U4496,49,South Korea,Spotify,EDM,349,442,Taylor Swift,Premium,Morning,25.41,30.95
U1279,60,South Korea,Apple Music,EDM,328,99,BTS,Free,Night,29.73,67.42
U2741,45,Brazil,Deezer,Pop,268,295,Adele,Premium,Night,15.49,36.34
U5624,55,Brazil,Spotify,EDM,314,276,BTS,Premium,Night,51.67,27.13
U3886,56,Japan,YouTube,Jazz,301,321,BTS,Premium,Morning,66.33,40.96
U2941,16,Germany,Deezer,R&B,547,454,Adele,Free,Morning,47.72,42.52
U1100,17,Brazil,YouTube,Reggae,379,486,Taylor Swift,,Night,57.31,34.1
U3804,17,France,YouTube,Reggae,166,132,Billie Eilish,Premium,Night,39.1,50.97
U4570,57,France,YouTube,Country,448,169,Taylor Swift,Premium,Night,89.52,20.66
U4684,20,Brazil,Deezer,Hip-Hop,124,422,Billie Eilish,Premium,Night,88.24,48.38
U4661,38,India,Tidal,Country,206,15,Dua Lipa,Premium,Night,11.27,7.23
U1530,18,UK,Spotify,Pop,363,202,Billie Eilish,Premium,Morning,,72.43
U2886,37,UK,Tidal,Country,501,380,Post Malone,Premium,Night,53.94,66.0
U1681,41,Australia,Apple Music,Rock,177,465,Post Malone,Free,Afternoon,30.46,62.19
U4794,39,Canada,YouTube,R&B,23,213,Taylor Swift,Free,Morning,15.87,65.39
U4944,46,,Apple Music,Jazz,581,151,Bad Bunny,Free,Afternoon,67.64,34.92
U5666,59,,Apple Music,EDM,204,326,Ed Sheeran,Premium,Night,21.01,29.24
U3018,36,UK,Tidal,Rock,483,349,Taylor Swift,Premium,Morning,71.9,77.63
U2096,47,South Korea,Spotify,Hip-Hop,566,90,Post Malone,Free,Night,65.76,28.11
U1829,20,South Korea,Deezer,Pop,154,377,Dua Lipa,Free,Night,81.05,63.88
U3805,43,Japan,Amazon Music,Classical,478,262,Adele,Free,Night,54.18,33.31
U4829,41,Australia,Deezer,Reggae,439,293,Post Malone,Premium,Afternoon,81.58,75.87
U5381,43,France,Amazon Music,Reggae,571,499,The Weeknd,Free,Night,12.73,30.9
U4891,30,India,Tidal,EDM,366,432,Taylor Swift,Premium,Afternoon,60.36,60.95
U1764,35,Germany,Amazon Music,Metal,588,236,Bad Bunny,Free,Afternoon,52.13,19.07
U3767,47,Canada,Spotify,Pop,506,457,BTS,Free,Night,55.89,64.66
U5328,26,UK,Deezer,Reggae,13,439,BTS,Premium,Night,44.85,52.48
U4295,15,France,Spotify,Pop,463,5,Adele,Free,Afternoon,55.09,5.3
U3194,36,France,Tidal,,135,485,,Premium,Night,27.98,47.29
U3357,29,France,YouTube,Rock,380,294,Adele,Free,Afternoon,55.83,26.02
U4425,55,Japan,Spotify,Hip-Hop,179,80,Ed Sheeran,Premium,Afternoon,26.78,48.0
U4979,48,Japan,YouTube,Jazz,185,32,Dua Lipa,Free,Night,28.1,6.62
U1911,27,India,Deezer,Rock,25,162,BTS,Free,Morning,68.46,35.12
U4145,52,Brazil,YouTube,Classical,275,364,Dua Lipa,,Morning,75.2,38.51
U1999,52,Brazil,YouTube,Rock,180,372,BTS,Premium,Night,32.28,64.85
U4653,38,Bharat,Deezer,Metal,579,69,Drake,Free,Morning,76.55,7.7
U3483,54,Brazil,Spotify,Hip-Hop,66,47,Ed Sheeran,Premium,Morning,86.59,23.24
,59,Germany,Spotify,R&B,489,362,The Weeknd,Free,Morning,63.77,18.28
U3370,19,Australia,Tidal,Jazz,235,56,Adele,Free,Afternoon,18.72,68.37
U5838,13,Japan,Deezer,EDM,167,387,Taylor Swift,Premium,Morning,69.89,73.7
U1033,49,South Korea,Apple Music,Hip-Hop,140,408,Dua Lipa,Free,Night,16.28,78.98
U4789,40,Canada,Deezer,Country,356,367,Adele,Free,Morning,85.37,39.93
U2020,41,South Korea,Spotify,Rock,354,466,Billie Eilish,Premium,Night,51.18,37.25
U2647,25,Japan,Amazon Music,Jazz,412,431,Billie Eilish,Free,Afternoon,51.39,22.85
U1733,13,Australia,YouTube,EDM,32,35,Drake,Free,Morning,37.79,78.12
U5582,25,UK,,EDM,497,155,Taylor Swift,Premium,Night,50.25,57.17
U4274,15,,Spotify,Reggae,509,261,The Weeknd,Premium,Night,45.62,27.12
U2620,35,,Deezer,Metal,107,361,Dua Lipa,Free,Night,66.11,50.16
U4135,55,Canada,Tidal,Classical,486,495,Adele,Premium,Morning,23.98,49.59
U3689,38,Bharat,Deezer,Reggae,141,432,Bad Bunny,Premium,Night,56.73,8.3
U3707,13,USA,Tidal,Country,517,21,Adele,,Morning,23.52,24.33
U1297,32,UK,Deezer,EDM,41,349,The Weeknd,Free,Night,12.44,7.47
U3339,28,,Amazon Music,Reggae,536,65,Drake,Free,Night,88.95,14.52
U1653,39,Australia,Deezer,Rock,176,192,BTS,,Night,76.86,35.17
U4774,36,Canada,Deezer,Jazz,276,100,Taylor Swift,Premium,Afternoon,48.55,9.82
U2255,33,Australia,Apple Music,Reggae,56,8,Ed Sheeran,Free,Night,68.32,32.55
U5520,17,Brazil,Spotify,Jazz,214,366,Ed Sheeran,Premium,Afternoon,29.83,28.47
U1230,51,Japan,YouTube,Reggae,385,414,Taylor Swift,Free,Morning,13.41,55.93
U4276,33,France,Tidal,Pop,517,246,Drake,Premium,Night,14.89,64.34
U4230,51,Australia,YouTube,Pop,333,482,Taylor Swift,Premium,Night,79.15,31.46
U1691,13,USA,Amazon Music,Metal,189,396,,Free,Morning,22.46,57.88
U3754,13,Germany,Spotify,R&B,337,158,Bad Bunny,Premium,Night,74.35,31.28
U5863,35,,Spotify,Metal,416,36,Post Malone,,Morning,66.1,24.85
U1969,16,UK,Deezer,Country,474,144,Adele,Premium,Morning,16.15,31.14
U1633,39,Japan,Apple Music,Pop,553,155,Billie Eilish,Premium,Afternoon,39.17,11.94
U5092,50,South Korea,Amazon Music,R&B,176,143,The Weeknd,Premium,Night,17.01,74.03
U5077,24,Canada,Tidal,Jazz,555,7,Billie Eilish,Free,Afternoon,56.65,32.74
U2321,40,Canada,Deezer,Hip-Hop,316,422,Adele,Premium,Afternoon,79.59,5.26
U2831,53,Brazil,YouTube,Country,163,369,Adele,Premium,Night,36.82,67.76
U3178,40,France,Spotify,Metal,373,162,Taylor Swift,Free,Morning,12.75,8.9
U2417,31,Germany,Spotify,Jazz,414,267,Post Malone,Free,Afternoon,57.32,72.28
